Placement #,Name,specialization,element,discord username,elo,wins,losses,discord userid,Notes
1,balls,Vita,Fire,sound_m,1200,0,0,1063677217978208356,"sound, community dj"
2,whatagreatname,Vita,Light,lolragezzz,1200,0,0,369703347768524812,LOLRagezzz
3,Sus,Vita,Fire,dingusmcgeee,1200,0,0,330506381251575808,DingusMcGeee
4,Rosalita,Vita,Cold,iNsTiNxXx,1200,0,0,713001348617994292,iNsTiNxXx
5,Lad,Vita,Fire,asdzx2,1200,0,0,526857671295369218,asdzx2
6,tesla,Vita,Light,sound_m,1200,0,0,1063677217978208356,"sound, community dj"
7,Brenda,Vita,Cold,warxdiggums,1200,0,0,634146523743125507,WarXDiggums
8,Enlightened,Vita,Light,radiologyguy,1200,0,0,927933078280732684,radiologyguy
9,Karesta,Vita,Fire,dakota.ac,1200,0,0,247141852615147520,"Krumf, Manager"
10,Bamba,Vita,Fire,xelrambo,1200,0,0,924370082388385803,Big Shimmy
11,Serenity,Vita,Fire,5erenity,1200,0,0,899808456444346410,Serenity
12,Svs,Vita,Fire,B4B1N3,1200,0,0,549978528997703680,B4B1N3
13,Fate,Vita,Cold,.weston86,1200,0,0,887489849010032722,"Lpc, Manager"
14,Cheelb,Vita,Fire,Yaekob,1200,0,0,305737207359078400,Yaekob
15,Myth,Vita,Fire,.weston86,1200,0,0,887489849010032722,"Lpc, Manager"
16,Flame,Vita,Fire,clint.chias1131,1200,0,0,473950742433234944,"Clint, DDL moderator"
17,sweatyBetty,ES,Light,shweaty_betty,1200,0,0,666787679693832260,"manager, organizer"
18,Kestral,Vita,Fire,40oz,1200,0,0,458434267178074123,40oz
19,mitelite,Vita,Cold,dakota.ac,1200,0,0,247141852615147520,"Krumf, Manager"
20,Gemma,Vita,Fire,gemmd,1200,0,0,727586332385214516,"Gemmd, Manager"
21,Premo_Sorc,Vita,Fire,xpremo_,1200,0,0,677927316629880842,dfc moderator
22,clO_ob,Vita,Cold,clo_ob.,1200,0,0,1039659099396255816,ColinTaylorGriffin
23,OG-WAP,Vita,Fire,tehpunch,1200,0,0,265184007367426048,punch
24,Aria,Vita,Fire,therjp,1200,0,0,262730531492331520,RJP
25,Astra,Vita,Fire,.visdev,1200,0,0,189878129140039680,Sox
26,Ember,Vita,Fire,radiologyguy,1200,0,0,927933078280732684,radiologyguy
27,Cold,Vita,Fire,acidfox,1200,0,0,235579533703643136,Acidfox
28,Inexplicable,Vita,Light,dingusmcgeee,1200,0,0,330506381251575808,DingusMcGeee
29,Celes,Vita,Fire,bugeaters,1200,0,0,838224474578485268,Bugeater
30,Mignon,Vita,Fire,Jinshin85,1200,0,0,893615056951083068,Kimsulki
31,Tempest,Vita,Cold,7empest,1200,0,0,682304398386659337,7empest
32,OG-Bleed,Vita,Cold,tehpunch,1200,0,0,265184007367426048,punch
33,Booty,Vita,Fire,redrum138,1200,0,0,1111851408967340072,RedRumAoD
34,Azula,Vita,Light,asdzx2,1200,0,0,526857671295369218,asdzx2
35,One,Vita,Cold,nuttyjim,1200,0,0,511757676770754560,Lamp
36,O_O,Vita,Fire,ColinTaylorGriffin,1200,0,0,1039659099396255816,ColinTaylorGriffin
37,Tempest,Vita,Fire,7empest,1200,0,0,682304398386659337,7empest
38,Jet,Vita,Fire,devthedud,1200,0,0,619252271427092490,dinfamy / devthedud
39,IDKHOWtoTP,Vita,Fire,bane3607,1200,0,0,611232869133582373,DJ JOHNNY DUBZ
40,IceyHot,Vita,Cold,bane3607,1200,0,0,611232869133582373,DJ JOHNNY DUBZ
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
